Username,Rating,Review,App,Sentiment
Pengguna Google,1,tiling shope jangan bikin iklan dimana² solanya pasti iklannya shopee teruss,Shopee,Sangat Negatif
Pengguna Google,5,sangat memuaskan belanja di shoppe.,Shopee,Sangat Positif
Pengguna Google,1,"Makin kesini makin kebawah kualitasnya.. Mau barang elektronik bilangnya siap pake nyatanya 0. Mau return malah ribet, dibawa kesana kesini.. Mau blnja online biar gak ribet justru ribet+rugi uang.. Kalau saya boleh kasih saran sih mending pindah ke income lain aja buat blnja. Udah gak jelas",Shopee,Sangat Negatif
Pengguna Google,5,pantap,Shopee,Sangat Positif
Pengguna Google,5,Shoee sangat membantu kebutuhan masyarakat yg sibuk berbelanja,Shopee,Sangat Positif
Pengguna Google,5,mantap appnya,Shopee,Sangat Positif
Pengguna Google,5,SAE. ..... ALUS PISAN ' TAPI NGINJEUM PENGAJUAN DUIT PINJAMAN HESE ALIAS SUSAH !!!,Shopee,Sangat Positif
Pengguna Google,1,"sinyal full buka apk semua lancarr, main game lancar tapi buka shopee gambarnya ga pernahh muncull gjlss dah pake wifi pun sama gimana mau liat barangnya coba?",Shopee,Sangat Negatif
Pengguna Google,5,mantap,Shopee,Sangat Positif
Pengguna Google,1,hati hati pinjol disini,Shopee,Sangat Negatif
Pengguna Google,5,aplikasi sangat bagus. barang yang dipesan sesuai dengan estimasi yang tertera,Shopee,Sangat Positif
Pengguna Google,1,"Mohon di tindak lanjutin kurir same day,masak kita sebagai pembeli di salah-salah kan karna tempat yang jau,salah posisi alamat lah,jalan yang rusakla,kita di katain sok pinterla,padahal kita order sesui sistem layanan yang ada.Kita juga pengguna suda lama,munggkin suda order ratusan. mohon di utamakan kurir yang niat kerja bukan kurir yang asal2an.makasih",Shopee,Sangat Negatif
Pengguna Google,5,bagus,Shopee,Sangat Positif
Pengguna Google,5,sangat membantu loh.. aku selalu dapet gratis ongkir..,Shopee,Sangat Positif
Pengguna Google,5,bagusssssssssss,Shopee,Sangat Positif
Pengguna Google,5,Mantap harga boleh dibandingkan,Shopee,Sangat Positif
Pengguna Google,1,gajelas aplikasi shopee,Shopee,Sangat Negatif
Pengguna Google,5,gak pernah kecewa tiap kali pesan di shopie,Shopee,Sangat Positif
Pengguna Google,5,OK,Shopee,Sangat Positif
Pengguna Google,4,4 dulu pemula,Shopee,Positif
Pengguna Google,4,"Status menuju alamat tujuan,ujung"" nya pesanan di antar esok hari dgn alasan kemalaman,walopun estimasi sampai besoknya,,sedangkan klo kelewat estimasi vocer 10k,klo telatnya 2hari lebih kok gak ada vocer/bonus lain,",Shopee,Positif
Pengguna Google,5,nice,Shopee,Sangat Positif
Pengguna Google,5,Mantab pertahankan kebaikan supaya barokah,Shopee,Sangat Positif
Pengguna Google,5,Mantap,Shopee,Sangat Positif
Pengguna Google,3,"sekarang ko shoppe pengirimannya lambat dengan spx expres, selalu di tunda tunda sama kurirnya dan akhirnya malah di batalin dari pihak shoppenya",Shopee,Netral
Pengguna Google,1,"PERLU DI PERHATIKAN !!!! fitur ulasan shopee food Sangat Buruk!!! pihak resto dapat menghubungi customer setelah di ulas, ulasan karena produk buruk , resto tidak terima di beri bintang 2, lalu customer di hubungi, bahkan resto mengetahui alamat customer, perlindungan konsumen tidak di perhatikan. sangat meresah seakan di intimidasi...... dan memungkinkan meneror atau membahayakan konsumen.",Shopee,Sangat Negatif
Pengguna Google,1,"shopee express lagi kenapa ya, belakangan sangat mengecewakan cara kerjanya, pesanan saya sudah beberapa kali di return tanpa alasan jelas, yang bukan dari saya sendiri membatalkan pesanan, sebagai pengguna shopee yang cukup lama jujur saya sangat merasa kecewa, update kurir ditugaskan menjemput pesanan 3 kali untuk 1 pesanan namun tidak kunjung di pick up(beralih dari dikemas ke dikirim) dan ini sudah terjadi dibeberapa pesanan saya disini saya merasa dirugikan karena waktu saya terbuang siasia",Shopee,Sangat Negatif
Pengguna Google,2,"Pelayanan jasa kirim jne begitu buruk, hampir 2 minggu paket saya belum datang, proses transit terlalu lama, pake acara diundur 2x, dengan alasan penerima tidak berada dilokasi, padahal itu alamat rumah saya, dan saya ga kemana mana hari itu, besoknya alasan lagi alamat tidak lengkap, kok bisa, padahal sebelumnya saya pesan paket cod 2 hari udah nyampe di alamat tertera, dari dulu pesen paket kerumah juga pasti nyampe, baru kali ini kya gini, JELEK BANGET JASA KIRIM JNE.",Shopee,Negatif
Pengguna Google,1,hati hati jangan pesan instan pake aplikasi ini nyampe nya lama.. kata nya 2 jam tau2 nya 3/4 jam.. pas di tanya driver nya kok lama jawab driver kata nya bawa 4 paket dan saya pengantaran terakhir gila2 saya pesan instan bukan same day mending ijo deh jangan yg oranye,Shopee,Sangat Negatif
Pengguna Google,5,mantapsss berbelanja jadi mudah setiap bulan nyaa thnksss shoppee,Shopee,Sangat Positif
Pengguna Google,5,Wauuu,Shopee,Sangat Positif
Pengguna Google,5,gud,Shopee,Sangat Positif
Pengguna Google,3,kok muter terus mau pesen susah pol,Shopee,Netral
Pengguna Google,1,"kurir Uwak labu rata2 gak bertanggung jawab dalam pekerjaan, selalu secara Sepihak Membuat laporan jadwal ulang padahal tidak ada komunikasi ke Penerima barang.",Shopee,Sangat Negatif
Pengguna Google,5,over all semua baik .....,Shopee,Sangat Positif
Pengguna Google,1,kurir nya lelet selama ganti ke spx paket juga sering di retur dari pihak kurir,Shopee,Sangat Negatif
Pengguna Google,5,Apk nya bagus sangat membantu dan potongan harga juga banyak....,Shopee,Sangat Positif
Pengguna Google,5,belanja di shoppe sangat memuaskan,Shopee,Sangat Positif
Pengguna Google,5,baguss banget,Shopee,Sangat Positif
Pengguna Google,5,JNT jgn di hps pliss,Shopee,Sangat Positif
Pengguna Google,1,gw gk bisa login padahal kata sandi dan nomer benar,Shopee,Sangat Negatif
Pengguna Google,1,spaylater & spinjam sy ko knp gk bisa di pakai yah ? di bekukan padahal pembayaran sy blm pernah telat,Shopee,Sangat Negatif
Pengguna Google,5,"sangat memuaskan, semua serba mudah.",Shopee,Sangat Positif
Pengguna Google,5,baik,Shopee,Sangat Positif
Pengguna Google,5,ok,Shopee,Sangat Positif
Pengguna Google,2,shope. sekarang lemot. pengiriman sampek semingu. biasah ya 3/2 sampek jadi bosenin pakek shope beralih ke tiktok aja dah. lbh cepet.,Shopee,Negatif
Pengguna Google,5,Mantap 👍👍👍👍👍👍.👍................👍👍.................,Shopee,Sangat Positif
Pengguna Google,5,"Nice, pertahankan dan tingkatkan service...",Shopee,Sangat Positif
Pengguna Google,1,"Cancel sistem gk jelas, kalo gak niat kasih promo mending gausah sekalian",Shopee,Sangat Negatif
Pengguna Google,5,bagus gak mengecewakan,Shopee,Sangat Positif
Pengguna Google,5,biar bintang yg berbicara,Shopee,Sangat Positif
Pengguna Google,3,"Shopee semenjak g bekerja sama dgn J&t pengiriman jd lambat, dulu bahkan 2 hari an juga dtg, sekarang paling cepet 4 hari, bisa sampe 6 hari baru datang",Shopee,Netral
Pengguna Google,4,ini saya semakin. di perbarui kok malahan nggak bisa buat upload foto /video penilaian ya .,Shopee,Positif
Pengguna Google,5,pelayanan cukup bagus toko/ kurirnya,Shopee,Sangat Positif
Pengguna Google,1,Pembelian saya kenapa setelah diambil sama kurir lalu tiba-tiba dikembalikan ke penjual oleh ninja expres. Dan uang saya belum dikembalikan.,Shopee,Sangat Negatif
Pengguna Google,2,ayolah shopee dulu nyaman pakai kamu sekarang aku beli barang sudah 3 GK jln jln,Shopee,Negatif
Pengguna Google,1,SEKARANG RIBET. Timbang pernah login. Voucher ga pernah dipake. Malah terdeteksi ga wajar. Kalo ga niat kasih voucher mending ga usah PHP. Kaya kemarin 4.4 ngasih voucher sampe tanggal 5 seenak jidat bilang cuma buat tanggal 4. Salah satu angka itu masalah besar. Apalagi platform besar yang ga mungkin ga rapat dulu sebelum launching.,Shopee,Sangat Negatif
Pengguna Google,5,bahan bagus allhamdulilah,Shopee,Sangat Positif
Pengguna Google,5,byk voucher dan gratis onkir dan murah,Shopee,Sangat Positif
Pengguna Google,5,baguuusss,Shopee,Sangat Positif
Pengguna Google,1,saya pesan shopee food nunggu lebih dari 3 jam gk dapat driver padahal area bali begitu ramai,Shopee,Sangat Negatif
Pengguna Google,1,shopee makin nggk jelas,Shopee,Sangat Negatif
Pengguna Google,5,"hampir semua yg saya cari, ada disini",Shopee,Sangat Positif
Pengguna Google,1,"semenjak putus mitra dengan J&T semua pesanan lelet, punya saya hampir seminggu belum saya terima. lelet semua exspidisi mitra shopee yang sekarang. bisa2 pelanggan pindah di toko hijau sat set...",Shopee,Sangat Negatif
Pengguna Google,1,aplikasi gampang eror tolol,Shopee,Sangat Negatif
Pengguna Google,5,bagus banget,Shopee,Sangat Positif
Pengguna Google,3,Semenjak diupdate kok ongkirnya mahal y.ini mah bisa2 pindah lagi belanjanya dilazada cari yg gratis ongkir,Shopee,Netral
Pengguna Google,5,bagus aja ya,Shopee,Sangat Positif
Pengguna Google,3,"4 bulan yang lalu dapat notif katanya udah bisa aktifin spylater.. tapi udah 4 kali coba selalu gagal, apa maksudnya coba ??",Shopee,Netral
Pengguna Google,4,sekarang jadi lama pengirimannya pakai spx semenjak ada transit di pekalongan batang,Shopee,Positif
Pengguna Google,2,"shopee sekarang pengiriman lama, mesen 2 barang dari tanggal 6, udh 5 hari belom juga sampe. bisanya 2 hari udh sampe",Shopee,Negatif
Pengguna Google,2,"shopee ini kenapa kali kok gambar nya ga muncul sama sekali.. jadi susah lah kalo mau cari barang, udah 4 hari kaya gotu terus.. tolong dong d perbaiki lagi",Shopee,Negatif
Pengguna Google,5,mantapp,Shopee,Sangat Positif
Pengguna Google,5,shopee terhebat,Shopee,Sangat Positif
Pengguna Google,5,"selama ini sy tidak pernah belanja ditempat lain, kayaknya udah cocok banget, banyak barang2 dengan harga dari kelas bawah menengah sampai kelas atas (rekomended).",Shopee,Sangat Positif
Pengguna Google,5,Good,Shopee,Sangat Positif
Pengguna Google,1,Menurut ku aplikasi ini sangat membantu... Hanya saja ada beberapa penjual yang tidak aamanah Tapi aplikasi super keren... saplikasi ini sekarang error... akun ku tak bisa masuk ... saya kurangi bintang jadi satu bintang karna akun saya tak bisa masuk...,Shopee,Sangat Negatif
Pengguna Google,5,semoga Shopee selalu amanah,Shopee,Sangat Positif
Pengguna Google,4,"keren,tPi kadang barangnya kurang komplit",Shopee,Positif
Pengguna Google,2,aplikasi terberat,Shopee,Negatif
Pengguna Google,5,mantab kaka,Shopee,Sangat Positif
Pengguna Google,3,shopee on time,Shopee,Netral
Pengguna Google,4,kadang sesuai pesanan kadang gak sesuai pesanan,Shopee,Positif
Pengguna Google,5,selalu berkualitas,Shopee,Sangat Positif
Pengguna Google,5,cukup tau,Shopee,Sangat Positif
Pengguna Google,5,pelayanan sangat baik dan ramah,Shopee,Sangat Positif
Pengguna Google,5,"puas belanja di shopee, sejauh ini belum ada yg mengecewakan",Shopee,Sangat Positif
Pengguna Google,2,"barang nya ngak sampe tepat waktu,kata nya sampe taggl 31 ini sampe nya tanggal tanggal 17 depan",Shopee,Negatif
Pengguna Google,5,sangat bagus,Shopee,Sangat Positif
Pengguna Google,5,Bagus bgt,Shopee,Sangat Positif
Pengguna Google,5,bagus bgt,Shopee,Sangat Positif
Pengguna Google,5,good,Shopee,Sangat Positif
Pengguna Google,5,tempat belanja yang mudah,Shopee,Sangat Positif
Pengguna Google,5,shopeee tetap yg ter keren.,Shopee,Sangat Positif
Pengguna Google,5,suka banget belanja disini barang apapun ada data konsumen juga terjaga dengan aman. beda sama toko sebelah yang warnanya hijau. belanja dg nominal 300 rb aja data udah bocor jadi kenak penipuan. disini udh habis berjuta2 data pelanggan tetap aman mkasih shopee.,Shopee,Sangat Positif
Pengguna Google,1,apk lelet kli padahal kuota ful sinyal Ful hadeh,Shopee,Sangat Negatif
Pengguna Google,1,Kembalikan fitur blokir pengguna !,Shopee,Sangat Negatif
Pengguna Google,1,aplikasi sampah udh byk yg pindah ke tiktok shop lbih murah ongkir gk ada batasan gk ribet s. pinjam apalagi mahal bungany klo ada minus bintang satu aku ksh,Shopee,Sangat Negatif
Pengguna Google,5,mntap semoga lancar terus,Shopee,Sangat Positif
Pengguna Google,5,sangat oke,Shopee,Sangat Positif
Pengguna Google,5,aplikasi shopee nya sangat lah bagus,Shopee,Sangat Positif
Pengguna Google,5,selama saya menggunakan aplikasi ini sangat membantu dalam berbelanja. terima kasih shopee,Shopee,Sangat Positif
Pengguna Google,5,"Banyak diskon dan ongkir gratis, mantavs....",Shopee,Sangat Positif
Pengguna Google,5,mantap shopee,Shopee,Sangat Positif
Pengguna Google,1,"kenapa selalu berat walaupun sudah pakai hp keluaran terbaru, agak risih sih kalau mau belanja",Shopee,Sangat Negatif
Pengguna Google,5,terimakasih,Shopee,Sangat Positif
Pengguna Google,5,Bagus aflikasinya lancar juga saya suka,Shopee,Sangat Positif
Pengguna Google,3,sekarang pakai shopee kecewa event ramadhan paket banyak gak sampai rumah dan dibatalkan sistem tolong diperbaiki lagi ekspedisi milik kalian.,Shopee,Netral
Pengguna Google,1,login sekarang sudah. masukin 4 akun beda jenis masih di tolak,Shopee,Sangat Negatif
Pengguna Google,1,"Dulu masih bisa mengajukan keluhan melalui telfon dan email, penanganan cepat, dan pasti teratasi.. menurut saya pelayanan keluhan pelanggan sangat memuaskan.. Tapi sekarang kita tidak bisa ajukan keluhan bahkan melalui chat CS Shopee, keluhan2 hanya di tangani oleh chatbot",Shopee,Sangat Negatif
Pengguna Google,4,tolong bisa di percepat pengiriman,Shopee,Positif
Pengguna Google,5,oke,Shopee,Sangat Positif
Pengguna Google,5,"mudah dalam bebelanja , harga terjangkau , ongkir bersahabat , pengiriman barang cepat , kurir amanah ....cek dulu baru bayar ... Shopee mantap ...sip dah ..👍👍👍 langganan belanja di shopee udah taunan semoga kedepan dapat diskon belanja instan ....👍👍👍👍👍👍👍👍",Shopee,Sangat Positif
Pengguna Google,1,yang jualan di shope banyak yang nipu,Shopee,Sangat Negatif
Pengguna Google,5,selalu dpat free ongkir dan tidak ribet untuk proses pencarian barang,Shopee,Sangat Positif
Pengguna Google,5,selalu amanah kualitas barangnya.,Shopee,Sangat Positif
Pengguna Google,5,ok shoope,Shopee,Sangat Positif
Pengguna Google,5,lebih di perhatikan untuk jasa pengiriman kak. karna pernah barang sayatidak sapai alamat saya dan hilang atau nyasar kemana,Shopee,Sangat Positif
Pengguna Google,5,terus perbaiki n tingkatkan kualitasnya,Shopee,Sangat Positif
Pengguna Google,5,Puaaaasssss,Shopee,Sangat Positif
Pengguna Google,5,sering seringlah klo geratis ongkir Rp.0. ya shopee.,Shopee,Sangat Positif
Pengguna Google,5,sangat memudahkan untuk berbelanja dan sangat puas skli belanja di shopee,Shopee,Sangat Positif
Pengguna Google,5,memudahkan dalam berbelanja online,Shopee,Sangat Positif
Pengguna Google,5,mudah lkp banyak diskon,Shopee,Sangat Positif
Pengguna Google,5,"uhuhuhhu aku suka banget,",Shopee,Sangat Positif
Pengguna Google,1,"knp si skrg shopee lama bgt pengiriman nye, pdhl pedagang udh ngirim cepet biasanye paket saya harusnye sampe 1-2 harian skrg malah lama bgt hampir seminggu nunggu pket doang, g pernah semuak ini sama shopee",Shopee,Sangat Negatif
Pengguna Google,5,selalu memuaskan,Shopee,Sangat Positif
Pengguna Google,5,Tolong donk untuk pihak shopie agar lbh memperhatikan kepuasan pelanggan. Terutama pada jasa Pembelian COD agar via jasa kirim JNT dan JNE di aktifkan diatiap Toko. Saya lbh puas pelayanan kurir JNT dan JNE 🙏🙏🙏🙏🙏🙏,Shopee,Sangat Positif
Pengguna Google,5,sangat memuaskan,Shopee,Sangat Positif
Pengguna Google,5,puas banget apa yg dibeli dishopee produknya Murah murah. top deh,Shopee,Sangat Positif
Pengguna Google,5,baik dan mudah sekali,Shopee,Sangat Positif
Pengguna Google,1,"paket saya dah sminggu gak nyampe"",sudah melewati estimasi, sekarang disuruh 3-4 hari nunggu",Shopee,Sangat Negatif
Pengguna Google,5,👍 👍 👍,Shopee,Sangat Positif
Pengguna Google,1,gimana kok gk bisa untuk pakek COD gk ada saya tolak .malahan pesanan saya belum datang 2.mohon kasih penjelasan .,Shopee,Sangat Negatif
Pengguna Google,5,"bagus sih, slm ini blajar online d shopee slalu sesuai, top bgt intinya",Shopee,Sangat Positif
Pengguna Google,5,"belanja lewat shopee lbh praktis,dan murah LG",Shopee,Sangat Positif
Pengguna Google,5,saya sangat puas belanja di shopee,Shopee,Sangat Positif
Pengguna Google,5,luvv shope,Shopee,Sangat Positif
Pengguna Google,5,memudahkan,Shopee,Sangat Positif
Pengguna Google,5,puas,Shopee,Sangat Positif
Pengguna Google,5,mudah untuk order barang,Shopee,Sangat Positif
Pengguna Google,5,okkk,Shopee,Sangat Positif
Pengguna Google,5,baguss,Shopee,Sangat Positif
Pengguna Google,1,"pengiriman lama, banyak potongan",Shopee,Sangat Negatif
Pengguna Google,1,kurir nya parah spx gk mau di ajak COD gk mau ngirim paket nyuruh tf nyuruh ngambil,Shopee,Sangat Negatif
